MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
1221271018	60000000	136	136..00	Alcohol consumption	160573003	1221271018	17
587231000006111	600000	1361-1	1361.11	Non drinker alcohol	105542008	291352018	17
291352018	300000	1361-2	1361.12	Non-drinker alcohol	105542008	291352018	17
629821000006117	1000000	1362-1	1362.11	Drinks rarely	266917007	397729013	17
629811000006113	2000000	1362-2	1362.12	Occasional drinker	228276006	342318019	17
250321015	10000	136A	136A.00	Ex-trivial drinker (<1u/day)	160582009	250321015	17
250322010	7000	136B	136B.00	Ex-light drinker - (1-2u/day)	160583004	250322010	17
250323017	6000	136C	136C.00	Ex-moderate drinker - (3-6u/d)	160584005	250323017	17
250324011	8000	136D	136D.00	Ex-heavy drinker - (7-9u/day)	160585006	250324011	17
250329018	9000	136E	136E.00	Ex-very heavy drinker-(>9u/d)	160587003	250329018	17
250331010	50000	136F	136F.00	Spirit drinker	160588008	250331010	17
250332015	200000	136G	136G.00	Beer drinker	160589000	250332015	17
250333013	20000	136H	136H.00	Drinks beer and spirits	160590009	250333013	17
250334019	200000	136I	136I.00	Drinks wine	160591008	250334019	17
47085011	500000	136J	136J.00	Social drinker	28127009	47085011	17
250335018	200000	136K	136K.00	Alcohol intake above recommended sensible limits	160592001	250335018	17
250340014	1000000	136L	136L.00	Alcohol intake within recommended sensible limits	160593006	250340014	17
217461000000118	1000000	136M	136M.00	Non - drinker	105542008	2659856015	17
342320016	90000	136N	136N.00	Light drinker	228277002	342320016	17
73012011	40000	136O	136O.00	Moderate drinker	43783005	73012011	17
144179014	30000	136P	136P.00	Heavy drinker	86933000	144179014	17
342322012	6000	136Q	136Q.00	Very heavy drinker	228279004	342322012	17
342366014	50000	136R	136R.00	Binge drinker	228315001	342366014	17
299061000000117	100000	136S	136S.00	Hazardous alcohol use	198421000000108	299061000000117	17
299081000000114	80000	136T	136T.00	Harmful alcohol use	198431000000105	299081000000114	17
556651000000116	2000000	136V	136V.00	Alcohol units consumed per week	1082641000000106	2713011000000113	17
606991000000117	50000	136W	136W.00	Alcohol misuse	15167005	606991000000117	32
750721000000118	6000	136X	136X.00	Number of alcohol units consumed on heaviest drinking day	442547005	2819352010	17
342361016	90	136Y	136Y.00	Drinks in morning to get rid of hangover	228310006	342361016	17
476411000006118	800000	136Z	136Z.00	Alcohol consumption NOS	160573003	1221271018	17
1738341000000110	10000	136a	136a.00	Increasing risk drinking	777631000000108	1738341000000110	17
342421016	3000	136b	136b.00	Feels should cut down drinking	228362008	342421016	17
2222181000000110	7000	136e	136e.00	Declines to state current alcohol consumption	858861000000101	2222181000000110	17
2549849017	1000	1B1c	1B1c.00	Alcohol induced hallucinations	417633001	2549849017	27
405461000000114	10000	66e0	66e0.00	Alcohol abuse monitoring	247721000000109	405461000000114	1
371501000000110	800	7P221	7P22100	Delivery of rehabilitation for alcohol addiction	231161000000109	371501000000110	32
106878015	8000	8BA8	8BA8.00	Alcohol detoxification	64297001	106878015	32
739501000000112	2000	8CAv	8CAv.00	Advised to contact primary care alcohol worker	375941000000101	739501000000112	32
283451018	1000	8G32	8G32.00	Aversion therapy - alcoholism	183388004	283451018	32
283559019	20000	8H35	8H35.00	Admitted to alcohol detoxification centre	183486001	283559019	40
622961000000116	30000	8HkG	8HkG.00	Referral to specialist alcohol treatment service	431260004	2768649019	40
750531000000113	20000	8IAJ	8IAJ.00	Declined referral to specialist alcohol treatment service	380861000000109	750531000000113	32
216585018	20000	9NN2	9NN2.00	Under care of community alcohol team	135827004	216585018	37
356292013	100	C1505	C150500	Alcohol-induced pseudo-Cushing's syndrome	237738005	356292013	15
476741000006111	4000	E01	E01..00	Alcohol-induced psychosis	42344001	70655012	32
15243013	4000	E010	E010.00	Alcohol withdrawal delirium	8635005	15243013	32
753331000006118	9000	E0110	E011000	Korsakov alcoholic psychosis	69482004	501296014	32
294662017	300	E0111	E011100	Korsakov's alcoholic psychosis with peripheral neuritis	191471000	294662017	32
501294012	4000	E0112	E011200	Wernicke-Korsakov syndrome	69482004	501294012	32
294664016	100	E011z	E011z00	Alcohol amnestic syndrome NOS	73097000	121405015	32
401760017	2000	E012	E012.00	Other alcoholic dementia	281004	1225776018	32
