MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
100716012	100000000	22K	22K..00	Body mass index	60621009	100716012	2
3484791000006113	2	^ESCTWE348479		Weight: body mass	60621009	2164080013	2
3484801000006114	10000	^ESCTBM348480		BMI - Body mass index	60621009	2164081012	2
253845014	900000	22K2	22K2.00	Increased body mass index	48499001	80800016	2
253847018	1000000	22K4	22K4.00	Body mass index index 25-29 - overweight	162863004	253847018	2
4553701000006115	30000	^ESCTBO455370		Body mass index 25-29 - overweight	162863004	2773979010	2
4553721000006113	300	^ESCTBM455372		BMI 25-29 - overweight	162863004	2164215019	2
6866991000006116	3000	^ESCTOB686699		Obese	414915002	2535064011	2
253848011	2000000	22K5	22K5.00	Body mass index 30+ - obesity	162864005	253848011	2
4553741000006118	400	^ESCTBM455374		BMI 30+ - obesity	162864005	2164216018	2
2160062010	200000	22K7	22K7.00	Body mass index 40+ - severely obese	408512008	2160062010	2
6763391000006114	10	^ESCTBO676339		Body mass index 40+ - morbidly obese	408512008	3005953017	2
6763401000006111	1	^ESCTBM676340		BMI (body mass index) 40+ - severely obese	408512008	2227961000000118	2
253576010	30000	22A5-1	22A5.11	O/E - obese	162690006	253576010	27
280881000006115	100000	222A	222A.00	O/E - obese	162690006	253576010	27
12113161000006113	100	^ESCT1211316		Obese class I	443371000124107	660381000124114	2
2350241000000116	20000	22KC	22KC.00	Obese class I (body mass index 30.0 - 34.9)	914721000000105	2350241000000116	2
12113181000006115	200	^ESCT1211318		Obese class II	443381000124105	660421000124116	2
2350261000000115	10000	22KD	22KD.00	Obese class II (body mass index 35.0 - 39.9)	914731000000107	2350261000000115	2
1900331000006113	10000	22KE	22KE.00	Obese class III (body mass index equal to or greater than 40.0)	914741000000103	2350281000000112	2
7833991000006118	90	^ESCTOV783399		Overweight in adulthood with body mass index of 25 or more but less than 30	722595002	3332833014	2
3203281000006116	6000	^ESCTNO320328		Normal weight	43664005	72805014	27
253680010	100000	22A3	22A3.00	O/E - weight within 10% ideal	162766004	253680010	2
253687013	30000	22A6	22A6.00	O/E - Underweight	162769006	253687013	2
272551000006116	3000	22A1	22A1.00	O/E - weight > 20% below ideal	162764001	253678016	2
4551821000006117	60	^ESCTOE455182		O/E - weight greater than 20% below ideal	162764001	253678016	2
253679012	7000	22A2	22A2.00	O/E -weight 10-20% below ideal	162765000	253679012	2
253844013	2000000	22K1	22K1.00	Normal body mass index	35425004	59104012	2
253846010	100000	22K3	22K3.00	Decreased body mass index	6497000	11777011	2
344041017	300	7L1V2	7L1V200	Body massage	229499000	344041017	32
453856012	300000	22K6	22K6.00	Body mass index less than 20	310252000	453856012	2
2474325012	300000	22K8	22K8.00	Body mass index 20-24 - normal	412768003	2474325012	2
923861000006112	4000	PCNQBO1		Body mass index	923861000006108	923861000006112	42
1551651000000111	6000	22K9	22K9.00	Body mass index centile	446974000	2882934011	2
1808061000006114	100	EMISNQBO29		Body mass index less than 18.5	1808061000006105	1808061000006114	2
1808071000006119	1	JHCBO5		Body mass index 18.5-24.9	1808071000006103	1808071000006119	2
1865591000006119	30000	38DB1	38DB100	Ten year hip fracture probability score using FRAX (Fracture Risk Assessment Tool) with body mass index	1092681000000102	2737481000000112	32
1865611000006113	40000	38DC1	38DC100	Ten year osteoporotic fracture probability score using FRAX (Fracture Risk Assessment Tool) with body mass index	1092661000000106	2737431000000113	32
1922491000006113	2	22K9K	22K9K00	Down syndrome body mass index centile	926011000000101	2374311000000119	2
2176161000000116	70000	22KA	22KA.00	Target body mass index	838441000000103	2176161000000116	2
2196031000000118	80	22K90	22K9000	Baseline body mass index centile	846911000000109	2196031000000118	2
2196071000000116	2000	22KB	22KB.00	Baseline body mass index	846931000000101	2196071000000116	2
3070611000006119	1	^ESCTNO307061		Normal BMI (body mass index)	35425004	2227901000000117	2
4937201000006110	40	^ESCTWE493720		Weight and body mass assessment procedure	225171007	2642344018	31
5256431000006114	1000	^ESCTLE525643		Lean body mass	248362003	370759012	31
5892201000006119	5	^ESCTOB589220		Observation of body mass index	301331008	1226967010	2
7068841000006116	10	^ESCTBO706884		Body mass index less than 16.5	427090001	2673915012	2
7332961000006118	3	^ESCTBM733296		BMI (body mass index) centile	446974000	2228211000000113	2
7504441000006114	2	^ESCTME750444		Measurement of body mass index	698094009	2987393017	31
7732441000006111	8	^ESCTPE773244		Percentage median body mass index for age and sex	715456008	3302687017	2
8233851000006119	3	^ESCTBO823385		Body mass, airflow obstruction, dyspnoea and exercise capacity index score	758801000000102	1673171000000118	31
8279981000006115	10	^ESCTTA827998		Target BMI (body mass index)	838441000000103	2176191000000110	2
8286961000006110	3	^ESCTBA828696		Baseline BMI (body mass index) centile	846911000000109	2228231000000117	2
8286991000006119	30	^ESCTBA828699		Baseline BMI (body mass index)	846931000000101	2228241000000114	2
8291801000006113	2	^ESCTMA829180		Maximum body mass index	852451000000103	2207901000000114	31
8291811000006111	2	^ESCTMA829181		Maximum BMI (body mass index)	852451000000103	2207891000000113	31
11923361000006119	20000	^ESCT1192336		Finding of body mass index	301331008	442609010	2
14510231000006118	20	^ESCT1451023		BMI (body mass index) centile	446974000	4556128018	2
