icd10	term
C000	Malignant neoplasm of external upper lip
C001	Malignant neoplasm of external lower lip
C002	Malignant neoplasm of external lip, unspecified
C003	Malignant neoplasm of upper lip, inner aspect
C004	Malignant neoplasm of lower lip, inner aspect
C005	Malignant neoplasm of lip, unspecified, inner aspect
C006	Malignant neoplasm of commissure of lip, unspecified
C008	Malignant neoplasm of overlapping sites of lip
C009	Malignant neoplasm of lip, unspecified
C010	Malignant neoplasm of base of tongue
C020	Malignant neoplasm of dorsal surface of tongue
C021	Malignant neoplasm of border of tongue
C022	Malignant neoplasm of ventral surface of tongue
C023	Malignant neoplasm of anterior two-thirds of tongue, part unspecified
C024	Malignant neoplasm of lingual tonsil
C028	Malignant neoplasm of overlapping sites of tongue
C029	Malignant neoplasm of tongue, unspecified
C030	Malignant neoplasm of upper gum
C031	Malignant neoplasm of lower gum
C039	Malignant neoplasm of gum, unspecified
C040	Malignant neoplasm of anterior floor of mouth
C041	Malignant neoplasm of lateral floor of mouth
C048	Malignant neoplasm of overlapping sites of floor of mouth
C049	Malignant neoplasm of floor of mouth, unspecified
C050	Malignant neoplasm of hard palate
C051	Malignant neoplasm of soft palate
C052	Malignant neoplasm of uvula
C058	Malignant neoplasm of overlapping sites of palate
C059	Malignant neoplasm of palate, unspecified
C060	Malignant neoplasm of cheek mucosa
C061	Malignant neoplasm of vestibule of mouth
C062	Malignant neoplasm of retromolar area
C068	Malignant neoplasm of overlapping sites of unspecified parts of mouth
C068	Malignant neoplasm of overlapping sites of other parts of mouth
C069	Malignant neoplasm of mouth, unspecified
C070	Malignant neoplasm of parotid gland
C080	Malignant neoplasm of submandibular gland
C081	Malignant neoplasm of sublingual gland
C089	Malignant neoplasm of major salivary gland, unspecified
C090	Malignant neoplasm of tonsillar fossa
C091	Malignant neoplasm of tonsillar pillar (anterior) (posterior)
C098	Malignant neoplasm of overlapping sites of tonsil
C099	Malignant neoplasm of tonsil, unspecified
C100	Malignant neoplasm of vallecula
C101	Malignant neoplasm of anterior surface of epiglottis
C102	Malignant neoplasm of lateral wall of oropharynx
C103	Malignant neoplasm of posterior wall of oropharynx
C104	Malignant neoplasm of branchial cleft
C108	Malignant neoplasm of overlapping sites of oropharynx
C109	Malignant neoplasm of oropharynx, unspecified
C110	Malignant neoplasm of superior wall of nasopharynx
C111	Malignant neoplasm of posterior wall of nasopharynx
C112	Malignant neoplasm of lateral wall of nasopharynx
C113	Malignant neoplasm of anterior wall of nasopharynx
C118	Malignant neoplasm of overlapping sites of nasopharynx
C119	Malignant neoplasm of nasopharynx, unspecified
C120	Malignant neoplasm of pyriform sinus
C130	Malignant neoplasm of postcricoid region
C131	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
C132	Malignant neoplasm of posterior wall of hypopharynx
