medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	snomedctdescriptionid	emiscodecategoryid
724791000006119	40000	B21	B21..00	Malignant tumour of larynx	363429002	482656014	32
289424013	50000	B550	B550.00	"Malignant neoplasm of head, neck and face"	188353002	289424013	32
721311000006114	40000	B01	B01..00	Malignant tumour of tongue	363375006	482546018	32
721351000006110	30000	B060	B060.00	Malignant tumour of tonsil	363393007	482586014	32
723501000006117	9000	B020	B020.00	Malignant tumour of parotid gland	363379000	482554016	32
406052010	7000	B0	B0...00	"Malignant neoplasm of lip, oral cavity and pharynx"	271323007	406052010	32
288450015	2000	B05	B05..00	Malignant neoplasm of other and unspecified parts of mouth	363505006	482796019	32
288573014	2000	B0z0	B0z0.00	Malignant neoplasm of pharynx unspecified	363507003	482800013	32
288807015	5000	B21z	B21z.00	Malignant neoplasm of larynx NOS	363429002	482656014	32
725611000006117	5000	B04	B04..00	Malignant neoplasm of floor of mouth	363385007	2969212012	32
724891000006113	2000	B00	B00..00	Malignant neoplasm of lip	363348004	482495016	32
380095017	2000	B0-1	B0...11	"Carcinoma of lip, oral cavity and pharynx"	255069008	380095017	32
723571000006111	10000	B06	B06..00	Malignant tumour of oropharynx	363392002	482583018	32
288582015	3000	B0zz	B0zz.00	"Malignant neoplasm of lip, oral cavity and pharynx NOS"	271323007	406052010	32
288522018	7000	B07	B07..00	Malignant neoplasm of nasopharynx	187692001	288522018	32
288794010	4000	B210	B210.00	Malignant neoplasm of glottis	187841006	288794010	32
724781000006117	3000	B0z2	B0z2.00	Malignant neoplasm of laryngopharynx	363399006	1228533018	32
288797015	7000	B211	B211.00	Malignant neoplasm of supraglottis	187842004	288797015	32
1228510019	3000	B02	B02..00	Malignant neoplasm of major salivary glands	363378008	1228510019	32
1228552012	1000	B200	B200.00	Malignant neoplasm of nasal cavities	363422006	1228552012	32
727381000006110	9000	B010	B010.00	Malignant tumour of base of tongue	363376007	482549013	32
725241000006116	4000	B08	B08..00	Malignant neoplasm of hypopharynx	363399006	482598016	32
721621000006110	3000	B053	B053.00	Malignant neoplasm of soft palate	363388009	482575012	32
403771011	600	B00-1	B00..11	Carcinoma of lip	269515006	403771011	32
289429015	2000	B5504	B550400	Malignant tumour of neck	363489000	482765011	32
721361000006112	3000	B061	B061.00	Malignant neoplasm of tonsillar fossa	363394001	482587017	32
288435012	2000	B01z	B01z.00	Malignant neoplasm of tongue NOS	363375006	482546018	32
725861000006118	4000	B03	B03..00	Malignant neoplasm of gum	363382005	482560016	32
288478019	3000	B060z	B060z00	Malignant neoplasm tonsil NOS	363393007	482585013	32
288474017	2000	B05z	B05z.00	Malignant neoplasm of mouth NOS	363505006	482796019	32
727151000006117	1000	B050	B050.00	Malignant neoplasm of cheek mucosa	363386008	482571015	32
722421000006115	1000	B081	B081.00	Malignant neoplasm of pyriform sinus	363401000	482602019	32
1228513017	1000	B021	B021.00	Malignant neoplasm of submandibular gland	363380002	1228513017	32
724881000006110	500	B016	B016.00	Malignant neoplasm of lingual tonsil	363377003	482550013	32
288802014	800	B2133	B213300	Malignant neoplasm of thyroid cartilage	187846001	288802014	32
725101000006111	800	B052	B052.00	Malignant neoplasm of hard palate	363387004	482573017	32
289426010	300	B5501	B550100	Carcinoma of cheek	447949005	2900962011	32
451428019	1000	B215	B215.00	Malignant neoplasm of epiglottis NOS	187842004	288796012	32
724641000006117	2000	B202	B202.00	Malignant neoplasm of maxillary sinus	363425008	482648011	32
727561000006112	1000	B050-1	B050.11	Malignant neoplasm of buccal mucosa	363386008	482571015	32
288806012	700	B21y	B21y.00	"Malignant neoplasm of larynx, other specified site"	363429002	482656014	32
289427018	700	B5502	B550200	Malignant neoplasm of nose	1090251000000100	2731361000000120	32
289425014	500	B5500	B550000	Malignant tumour of head and neck	255056009	380072014	32
724761000006110	2000	B213	B213.00	Malignant neoplasm of laryngeal cartilage	363431006	482660012	32
