medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	snomedctdescriptionid	emiscodecategoryid
1634018	90000	1BA6	1BA6.00	Occipital headache	330007	1634018	27
1799015	40	K28y2	K28y200	Hypertrophy of scrotum	431005	1799015	32
4849012	2000	F4813	F481300	Scintillating scotoma	2228002	4849012	32
4874010	300000	1825	1825.00	Pleuritic pain	2237002	4874010	27
5303018	30	A0222	A022200	Salmonella pneumonia	2523007	5303018	32
8285011	200	K1520	K152000	Subacute cystitis	4324001	8285011	32
10187013	700000	H061	H061.00	Acute bronchiolitis	5505005	10187013	32
11625011	600000	1A13	1A13.00	Nocturia	139394000	221079019	27
12652015	9	H5302	H530200	Gangrenous pneumonia	7063008	12652015	32
13165015	2000	F1523	F152300	Pseudobulbar palsy	7379000	13165015	32
13455018	20	H571	H571.00	Rheumatic pneumonia	7548000	13455018	32
14191011	60000	F49-1	F49..11	Impaired vision	397540003	3011990016	32
15155012	10000	1993	1993.00	Projectile vomiting	8579004	15155012	32
15459010	10000	J680-1	J680.11	Vomiting blood	8765009	507678016	32
17889011	600	Q311	Q311.00	Massive aspiration syndrome	10269001	1218851011	32
18268014	3000000	H060	H060.00	Acute bronchitis	10509002	18268014	32
19500014	900	K15y1	K15y100	Irradiation cystitis	11251000	19500014	32
19944017	10000	F240-1	F240.11	Tetraplegia	11538006	19944017	32
20419011	2000000	1712	1712.00	Dry cough	11833005	20419011	27
20792019	1000000	J5730-1	J573011	Rectal bleeding	12063002	20792019	32
21633013	30000	N33A	N33A.00	Bone pain	12584003	21633013	32
22733019	6000	K15y0	K15y000	Cystitis cystica	13285005	22733019	32
25076018	5000000	19C	19C..00	Constipation	14760008	25076018	27
25801011	10000	H0612	H061200	Acute bronchiolitis with bronchospasm	15199004	25801011	32
25807010	9000	F4811	F481100	Sudden visual loss	15203004	25807010	32
27646010	500000	1955	1955.00	Heartburn	16331000	27646010	27
28383015	1000000	J101	J101.00	Oesophagitis	16761005	28383015	32
28519014	9000	1A56	1A56.00	Strangury	16844001	28519014	27
30371011	20000	171K	171K.00	Barking cough	17986004	30371011	27
33703013	10000	F2A	F2A..00	Hemiparesis	20022000	33703013	32
36112013	9000000	1969	1969.00	Abdominal pain	21522001	36112013	27
38727013	3000000	N143	N143.00	Sciatica	23056005	38727013	32
39884018	2000	K1006	K100600	Calculous pyelonephritis	23754003	39884018	32
41678019	200	A9811	A981100	Acute gonococcal cystitis	24868007	41678019	32
41870012	80000	1B72-1	1B72.11	Diplopia	24982008	41870012	32
41871011	30000	1B72-2	1B72.12	Double vision	24982008	41871011	32
41990019	6000000	1B1G	1B1G.00	Headache	25064002	41990019	27
48343019	50	A992-2	A992.12	Pudendal ulcer	28867007	48343019	32
48513015	20000	F24y0	F24y000	Progressive supranuclear palsy	28978003	48512013	32
49532015	7000	K567	K567.00	Polyp of vagina	29609001	49532015	32
49755019	200000	4678	4678.00	Proteinuria	29738008	49755019	34
49966017	6000000	182	182..00	Chest pain	29857009	49966017	27
49984015	4000	A9801	A980100	Acute gonococcal urethritis	29864006	49984015	32
50395017	200	AD102	AD10200	Trichomonal urethritis	30116001	50395017	32
50596017	40000	1944	1944.00	Swallowing painful	30233002	484525011	27
