MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
1491626013	10000	C154	C154.00	Corticoadrenal insufficiency	386584007	1491626013	32
460981000006112	1000	C1540-1	C154011	Addisonian crisis	24867002	41675016	32
485624014	50000	C1541	C154100	Addison's disease	363732003	485624014	32
41677012	3000	C1546	C154600	Addisonian crisis	24867002	41675016	32
398809019	500	C154z	C154z00	Corticoadrenal insufficiency NOS	386584007	1480726013	32
356317017	10000	C154z-2	C154z12	Adrenal insufficiency	386584007	1491625012	32
482035011	2000	C1540	C154000	Acute adrenal insufficiency	24867002	41675016	32
1232041011	1000	C1543	C154300	Hypoaldosteronism	60086000	1232041011	32
178805019	2000	C154z-1	C154z11	Adrenal hypofunction	237785004	3506672018	32
292830017	800	C1544	C154400	Drug-induced adrenocortical insufficiency	190524001	292830017	5
41676015	400	C1540-2	C154012	Adrenal crisis	24867002	41675016	32
495316011	500	C1542	C154200	Adrenal haemorrhage	49111001	495316011	32
292831018	100	C1545	C154500	Postprocedural adrenocortical(-medullary) hypofunction	721290005	3324882018	32
356328018	6	C1542-1	C154211	Adrenocortical haemorrhage	237766002	356328018	32
354461011	100	C1547	C154700	Hyporeninaemic hypoaldosteronism	236464008	354461011	32
421235014	900000	G5732	G573200	Paroxysmal atrial fibrillation	282825002	421235014	32
82343012	5000000	G5730	G573000	Atrial fibrillation	49436004	82343012	32
300130013	600000	G573	G573.00	Atrial fibrillation and flutter	195080001	300130013	32
300132017	30000	G573z	G573z00	Atrial fibrillation and flutter NOS	195080001	300130013	32
350465014	2000	G5733	G573300	Non-rheumatic atrial fibrillation	233911009	350465014	32
406861000000119	200000	6A9	6A9..00	Atrial fibrillation annual review	248411000000105	406861000000119	1
1587611000006119	7000	793M1	793M100	Percutaneous transluminal ablation of atrial wall for atrial flutter	707832008	3032484016	32
636701000000115	6000	G5735	G573500	Persistent atrial fibrillation	440059007	2793372019	32
636721000000112	4000	G5734	G573400	Permanent atrial fibrillation	440028005	2793259018	32
2197581000000114	3000	8CMW2	8CMW200	Atrial fibrillation care pathway	847611000000104	2197581000000114	32
295251015	50000	E2500	E250000	Nondependent alcohol abuse, unspecified	268645007	401797010	32
502017010	900000	E23-2	E23..12	Alcohol problem drinking	7200002	502017010	32
250314015	200000	1365	1365.00	Heavy drinker - 7-9u/day	160577002	250314015	17
12878014	200000	E23-1	E23..11	Alcoholism	66590003	110629012	32
294674018	90000	E01y0	E01y000	Alcohol withdrawal syndrome	191480000	294674018	32
500478011	1000000	E23	E23..00	Alcohol dependence syndrome	66590003	500478011	32
17390014	10000	J611	J611.00	Acute alcoholic hepatitis	9953008	17390014	32
753331000006118	9000	E0110	E011000	Korsakov alcoholic psychosis	69482004	501296014	32
4525015	30000	J153	J153.00	Alcoholic gastritis	2043009	4525015	32
295127018	10000	E230	E230.00	Acute alcoholic intoxication in alcoholism	191802004	295127018	32
370971000006114	6000	Eu102-2	Eu10212	[X]Chronic alcoholism	66590003	110629012	32
295144019	100000	E23z	E23z.00	Alcohol dependence syndrome NOS	66590003	500478011	32
303399018	90000	J613	J613.00	Alcoholic liver damage	41309000	68906017	32
83834016	50000	J610	J610.00	Alcoholic fatty liver	50325005	83834016	32
294662017	300	E0111	E011100	Korsakov's alcoholic psychosis with peripheral neuritis	191471000	294662017	32
397621000006111	1000	Eu105	Eu10500	Alcohol-induced psychosis	42344001	70655012	32
2474678017	20000	66e	66e..00	Alcohol disorder monitoring	413130000	2474678017	1
295253017	5000	E2502	E250200	Nondependent alcohol abuse, episodic	191883007	295253017	32
250316018	100000	1366	1366.00	Very heavy drinker - >9u/day	160578007	250316018	17
342322012	6000	136Q	136Q.00	Very heavy drinker	228279004	342322012	17
15243013	4000	E010	E010.00	Alcohol withdrawal delirium	8635005	15243013	32
476741000006111	4000	E01	E01..00	Alcohol-induced psychosis	42344001	70655012	32
501294012	4000	E0112	E011200	Wernicke-Korsakov syndrome	69482004	501294012	32
295139014	10000	E2311	E231100	Continuous chronic alcoholism	191811004	295139014	32
295142015	6000	E2313	E231300	Chronic alcoholism in remission	191813001	295142015	32
294669014	1000	E013	E013.00	Alcohol withdrawal hallucinosis	191476005	294669014	32
295141010	5000	E2312	E231200	Episodic chronic alcoholism	191812006	295141010	32
