MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
3315711000006110	500	^ESCTBO331571		Body height measure	50373000	495662010	31
3315721000006119	10000	^ESCTBO331572		Body height	50373000	83914018	31
253669010	100000000	229	229..00	Standing height	248333004	370729019	2
253672015	30000	2293	2293.00	O/E -height within 10% average	162758008	253672015	2
253673013	2000	2294	2294.00	O/E-height 10-20% over average	162759000	253673013	2
253675018	8000	2296	2296.00	O/E - loss of height	162761009	253675018	2
253676017	200000	229Z	229Z.00	O/E - height NOS	248333004	370729019	2
253866018	90000	22Z	22Z..00	Height and weight	162879003	253866018	2
5256071000006119	100	^ESCTGE525607		General finding of height	248327008	370721016	31
271181000006113	1000	2291	2291.00	O/E-height > 20% below average	162756007	253670011	2
272151000006114	700	2295	2295.00	O/E -height > 20% over average	162760005	253674019	2
284561000006119	2000	2292	2292.00	O/E - height 10-20% < average	162757003	253671010	2
923831000006115	200	PCNQOE1		O/E - height	923831000006104	923831000006115	42
957731000006119	6	TRISHE1		Height weight & BP	957731000006103	957731000006119	17
982601000006111	100	EMISCHE7		Height (Over)	982601000006107	982601000006111	27
1910921000006114	9000	EMISNQES11		Estimated height	1910921000006105	1910921000006114	2
1910931000006112	3000	EMISNQRE470		Reported height	1910931000006108	1910931000006112	2
2729021000006118	1	^ESCTME272902		Measuring height of patient	14456009	24574015	31
4551671000006115	30	^ESCTON455167		On examination - height	162755006	2666494014	27
4551681000006117	10	^ESCTOE455168		O/E - height greater than 20% below average	162756007	253670011	2
4551701000006119	10	^ESCTOE455170		O/E - height 10-20% below average	162757003	253671010	2
4551761000006118	10	^ESCTOE455176		O/E - height greater than 20% over average	162760005	253674019	2
4935071000006119	1	^ESCTHE493507		Height increased	224997009	338165011	31
5526601000006112	500	^ESCTHE552660		Height / growth measure	271603002	406454019	31
5529851000006116	1000	^ESCTHA552985		Has not grown in height	271817008	406786011	32
11905141000006112	70000	^ESCT1190514		O/E - height	162755006	253669010	27
14413201000006113	8	^ESCT1441320		Self reported body height	1047021000000101	1617941000000111	2
14452941000006118	500	^ESCT1445294		Body height	1153637007	4565433019	31
14532981000006117	4	^ESCT1453298		Self reported body height	1162419008	4589277013	2
252191014	300000	1622	1622.00	Weight increasing	161831008	252191014	27
253677014	200000000	22A	22A..00	Body weight	27113001	45352010	2
253688015	200000	22AZ	22AZ.00	O/E - weight NOS	27113001	45352010	2
982581000006118	400	EMISCWE5		Weight (Over)	982581000006102	982581000006118	27
2934311000006118	50	^ESCTWE293431		Weight	27113001	598581000000118	2
4986261000006116	1	^ESCTGK498626		g/kg body weight	228919004	343145016	31
7879461000006116	40000	^ESCTWE787946		Weight	726527001	3450321013	31
11905011000006114	80000	^ESCT1190501		O/E - weight	162763007	253677014	27
14167431000006113	900	^ESCT1416743		Target body weight	1078215008	4304082018	1
4551811000006113	20	^ESCTON455181		On examination - weight	162763007	2667035013	27
6251151000006116	10	^ESCTBO625115		Body weight measure	363808001	486932010	31
3514400010	30	^ESCT1165415		Current body weight	735395000	3514400010	31
13638231000006115	10	^ESCT1363823		Self reported body weight	784399000	3768525013	2
