MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
137721000006115	80000	137-1	137..11	Smoker - amount smoked	266918002	397730015	17
14866014	3000000	1371-1	1371.11	Non-smoker	8392000	14866014	17
397733018	200000	1372-1	1372.11	Occasional smoker	428041000124106	2717161000000119	17
250366012	1000000	137A	137A.00	Ex-heavy cigarette smoker (20-39/day)	266924008	397739019	17
1488577017	500000	137b	137b.00	Ready to stop smoking	394872000	1488577017	17
250367015	200000	137B	137B.00	Ex-very heavy cigarette smoker (40+/day)	266925009	397740017	17
1488576014	800000	137c	137c.00	Thinking about stopping smoking	394871007	1488576014	17
250368013	80000	137C	137C.00	Keeps trying to stop smoking	160612007	250368013	17
1488578010	1000000	137d	137d.00	Not interested in stopping smoking	394873005	1488578010	17
2670126018	20000	137e	137e.00	Smoking restarted	308438006	2670126018	17
1780360012	20000	137f	137f.00	Reason for restarting smoking	401159003	1780360012	17
250371017	1000000	137F	137F.00	Ex-smoker - amount unknown	8517006	15047015	17
250372012	2000000	137G	137G.00	Trying to give up smoking	160616005	250372012	17
136515019	200000	137H	137H.00	Pipe smoker	82302008	136515019	17
418914010	2000000	137j	137j.00	Ex-cigarette smoker	281018007	418914010	17
99639019	400000	137J	137J.00	Cigar smoker	59978006	99639019	17
250373019	4000000	137K	137K.00	Stopped smoking	160617001	250373019	17
250374013	10000000	137L	137L.00	Current non-smoker	160618006	250374013	17
1592611000000110	60000	137m	137m.00	Failed attempt to stop smoking	446172000	2882460017	17
250375014	1000000	137M	137M.00	Rolls own cigarettes	160619003	250375014	17
649831000006117	60000	137N	137N.00	Ex-pipe smoker	160620009	250376010	17
649821000006115	60000	137O	137O.00	Ex-cigar smoker	160621008	250377018	17
108938018	20000000	137P	137P.00	Cigarette smoker	65568007	108938018	17
128130017	1000000	137P-1	137P.11	Smoker	77176002	128130017	17
2669652019	100000	137Q	137Q.00	Smoking started	266929003	2669652019	17
137791000006118	10000	137Q-1	137Q.11	Smoking restarted	308438006	2670126018	17
503483019	10000000	137R	137R.00	Current smoker	77176002	503483019	17
649841000006110	30000000	137S	137S.00	Ex-smoker	8517006	15047015	17
250385010	2000000	137T	137T.00	Date ceased smoking	160625004	250385010	17
216212011	40000	137V	137V.00	Smoking reduced	134406006	216212011	17
1484932017	200000	13p	13p..00	Smoking cessation milestones	390900001	1484932017	17
1484933010	500000	13p0	13p0.00	Negotiated date for cessation of smoking	390901002	1484933010	17
1484934016	200000	13p1	13p1.00	Smoking status at 4 weeks	390902009	1484934016	17
1484935015	50000	13p2	13p2.00	Smoking status between 4 and 52 weeks	390903004	1484935015	17
1484936019	5000	13p3	13p3.00	Smoking status at 52 weeks	390904005	1484936019	17
1488873010	200000	13p4	13p4.00	Smoking free weeks	395177003	1488873010	17
1773560017	300000	13p5	13p5.00	Smoking cessation programme start date	401160008	1773560017	17
2534083012	80000	13p6	13p6.00	Carbon monoxide reading at 4 weeks	413753009	2534083012	17
408878014	10000	38DH	38DH.00	Fagerstrom Test for Nicotine Dependence total score	762991003	3637499017	3
492511000000117	200000	745H	745H.00	Smoking cessation therapy	710081004	3043296015	32
482791000000119	100000	745H0	745H000	Nicotine replacement therapy using nicotine patch	790121000000107	1766431000000116	32
482811000000118	20000	745H1	745H100	Nicotine replacement therapy using nicotine gum	280801000000101	482811000000118	32
482831000000114	40000	745H2	745H200	Nicotine replacement therapy using nicotine inhalator	280811000000104	482831000000114	32
482851000000119	10000	745H3	745H300	Nicotine replacement therapy using nicotine lozenge	790131000000109	1766451000000111	32
482771000000118	100000	745H4	745H400	Smoking cessation drug therapy	713700008	3297364011	32
482871000000111	40000	745Hy	745Hy00	Other specified smoking cessation therapy	710081004	3043296015	32
489931000000114	20000	745Hz	745Hz00	Smoking cessation therapy NOS	710081004	3043296015	32
457286014	900000	8B2B	8B2B.00	Nicotine replacement therapy	313396002	457286014	32
1484937011	100000	8B3f	8B3f.00	Nicotine replacement therapy provided free	390905006	1484937011	32
459524018	40000	8B3Y	8B3Y.00	Over the counter nicotine replacement therapy	315055008	459524018	32
998861000006112	300	8BP3	8BP3.00	Nicotine replacement therapy provided by community pharmacist	200211000000104	303471000000110	32
303501000000115	2000	8CAg	8CAg.00	Smoking cessation advice provided by community pharmacist	200221000000105	303501000000115	32
338608011	40000000	8CAL	8CAL.00	Smoking cessation advice	225323000	338608011	17
1489355012	1000000	8H7i	8H7i.00	Referral to smoking cessation advisor	395700008	1489355012	40
459722017	900000	8HTK	8HTK.00	Referral to stop-smoking clinic	315232003	459722017	40
1488870013	4000	8I2I	8I2I.00	Nicotine replacement therapy contraindicated	395174005	1488870013	32
1488871012	3000	8I2J	8I2J.00	Bupropion contraindicated	395175006	1488871012	32
1123951000000110	300	9km	9km..00	Ex-smoker annual review - enhanced services administration	505761000000105	1154471000000114	37
1714541000006110	400	9ko	9ko..00	Current smoker annual review - enhanced services admin	505651000000103	1152111000000118	37
1780273014	1000000	9N2k	9N2k.00	Seen by smoking cessation advisor	401068004	1780273014	37
150398019	4000	E023	E023.00	Nicotine withdrawal	90755006	150398019	32
102951000006115	80000	E251	E251.00	Tobacco dependence	89765005	2951656017	32
295256013	1000	E2510	E251000	Tobacco dependence, unspecified	89765005	148820017	32
295257016	100	E2511	E251100	Tobacco dependence, continuous	191887008	295257016	32
295259018	100	E2513	E251300	Tobacco dependence in remission	191889006	295259018	32
295260011	500	E251z	E251z00	Tobacco dependence NOS	89765005	2951656017	32
298701000000114	30	ZV116	ZV11600	History of tobacco use	8517006	15047015	17
460828018	2000	ZV4K0	ZV4K000	Tobacco user	110483000	175325014	32
461114016	600	ZV6D8	ZV6D800	Counselling about tobacco use	711028002	3047058010	32
1059701000000119	20000	137l	137l.00	Ex roll-up cigarette smoker	492191000000103	1059701000000119	17
1123541000000118	20000	8HBM	8HBM.00	Stop smoking face to face follow-up	505581000000108	1123541000000118	40
1123751000000113	5000	9kn	9kn..00	Non-smoker annual review - enhanced services administration	505681000000109	1154431000000112	37
1125741000000111	200000	67H6	67H6.00	Brief intervention for smoking cessation	506491000000102	1125741000000111	17
13499671000006118	6000	^ESCT1349967		Brief intervention for smoking cessation	771155005	3704611015	17
1151791000000117	30000	137K0	137K000	Recently stopped smoking	517211000000106	1151791000000117	17
1152111000000118	50000	9ko-1	9ko..11	Current smoker annual review	505651000000103	1152111000000118	37
1154431000000112	40000	9kn-1	9kn..11	Non-smoker annual review	505681000000109	1154431000000112	37
1154471000000114	60000	9km-1	9km..11	Ex-smoker annual review	505761000000105	1154471000000114	37
1176421000000118	1000000	8IAj	8IAj.00	Smoking cessation advice declined	527151000000107	1176421000000118	32
1563081000000115	30000	13p50	13p5000	Practice based smoking cessation programme start date	712971000000108	1563081000000115	17
1708051000000119	3000	13p7	13p7.00	Smoking status at 12 weeks	766931000000106	1708051000000119	17
1746211000006111	100	EMISNQSM8		Smoking status at 12 weeks	1746211000006107	1746211000006111	17
1709641000000115	200000	9NS02	9NS0200	Referral for smoking cessation service offered	767641000000109	1709641000000115	37
1715591000006117	100000	8HkQ	8HkQ.00	Referral to National Health Service stop smoking service	505281000000106	1122921000000113	40
1716141000000117	10000	13p8	13p8.00	Lost to smoking cessation follow-up	768971000000109	1716141000000117	17
1750931000000118	100000	8CdB	8CdB.00	Stop smoking service opportunity signposted	783011000000105	1750931000000118	32
2203381000000113	2000	8HBP	8HBP.00	Smoking cessation 12 week follow-up	850331000000104	2203381000000113	40
